,Reaction_ID,Se_axen_d4_1,Se_axen_d4_2,Se_axen_d4_3,Se_axen_d6_1,Se_axen_d6_2,Se_axen_d6_3,Se_axen_d8_1,Se_axen_d8_2,Se_axen_d8_3
PPNCL3: 4ppan_c + atp_c + cys__L_c --> 4ppcys_c + amp_c + h_c + ppi_c,PPNCL3,4776.0,4913.0,4707.0,5289.0,3941.0,4461.0,2560.0,3076.0,3173.0
CS: accoa_c + h2o_c + oaa_c --> cit_c + coa_c + h_c,CS,7890.0,9069.0,6682.0,7927.0,7200.0,7242.0,4412.0,5434.0,4942.0
PPCDC: 4ppcys_c + h_c --> co2_c + pan4p_c,PPCDC,4776.0,4913.0,4707.0,5289.0,3941.0,4461.0,2560.0,3076.0,3173.0
LDH_D: lac__D_c + nad_c <=> h_c + nadh_c + pyr_c,LDH_D,1207.0,1452.0,1210.0,1218.0,1524.0,1296.0,624.0,1214.0,859.0
HPYRRy: h_c + hpyr_c + nadph_c --> glyc__R_c + nadp_c,HPYRRy,2724.0,2801.0,2298.0,2250.0,2230.0,2320.0,1368.0,1472.0,1484.0
ADMDC: amet_c + h_c --> ametam_c + co2_c,ADMDC,38039.0,37236.0,38709.0,30039.0,27350.0,30727.0,21773.0,19697.0,16791.0
PRE3BS: h_c + nadh_c + o2_c + pre3a_c --> h2o_c + nad_c + pre3b_c,PRE3BS,8388.0,7776.0,7622.0,6969.0,6659.0,7092.0,4635.0,4100.0,4272.0
PPPGO2_1: 3.0 o2_c + pppg9_c --> 3.0 h2o2_c + ppp9_c,PPPGO2_1,10252.0,11187.0,8750.0,10180.0,9661.0,10257.0,9100.0,6985.0,6183.0
BIOMASS_DNA: 0.7237 datp_c + 0.89986 dctp_c + 0.89986 dgtp_c + 0.7237 dttp_c --> bm_dna_c + 3.24711 ppi_c,BIOMASS_DNA,560.0,710.0,508.0,667.0,604.0,638.0,312.0,478.0,480.0
DMATT: dmpp_c + ipdp_c --> grdp_c + ppi_c,DMATT,7161.0,8192.0,6333.0,6376.0,5828.0,5477.0,4146.0,4632.0,4349.0
DNAMTn2r: amet_c + dna_c --> ahcys_c + dna5mtc_c + h_c,DNAMTn2r,12250.0,12522.0,12392.0,11602.0,10726.0,12967.0,5866.0,7635.0,7677.0
G3PD2: glyc3p_c + nadp_c <=> dhap_c + h_c + nadph_c,G3PD2,2337.0,2802.0,2382.0,2360.0,2148.0,2026.0,1367.0,1496.0,1928.0
BIOMASS_CELL_WALL: 0.694139 colipacy_e + 0.192214 murein5p5p5p_p --> bm_cw_c,BIOMASS_CELL_WALL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PHYTES: 2.0 ggdp_c --> ppi_c + prephytedp_c,PHYTES,14202.0,13930.0,10849.0,13346.0,10931.0,12387.0,6730.0,8226.0,7966.0
RB15BPtcx: rb15bp_c --> rb15bp_cx,RB15BPtcx,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MI3PP: h2o_c + mi3p__D_c --> inost_c + pi_c,MI3PP,2066.0,2322.0,1710.0,1960.0,1868.0,1824.0,992.0,1488.0,1246.0
MOHMT: 3mob_c + h2o_c + mlthf_c --> 2dhp_c + thf_c,MOHMT,2550.0,2910.0,2227.0,3198.0,2387.0,2480.0,1680.0,1922.0,2366.0
GLXO3r: glx_c + h2o_c + o2_c <=> h2o2_c + h_c + oxa_c,GLXO3r,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FBA: fdp_c <=> dhap_c + g3p_c,FBA,263813.0,268408.0,254591.0,259145.0,230649.0,252641.0,196523.0,179892.0,149347.0
RZ5PP: 5prdmbz_c + h2o_c --> pi_c + rdmbzi_c,RZ5PP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PROAKGOX1: akg_c + o2_c + pro__L_c --> 4hpro_LT_c + co2_c + succ_c,PROAKGOX1,11280.0,11381.0,11670.0,11071.0,9771.0,11624.0,5176.0,7382.0,9271.0
ASAD: aspsa_c + nadp_c + pi_c <-- 4pasp_c + h_c + nadph_c,ASAD,24984.0,27265.0,20415.0,27715.0,22929.0,23182.0,11015.0,19038.0,21038.0
CYSS_2: acser_c + h2s_c --> ac_c + cys__L_c,CYSS_2,18981.0,22195.0,19102.0,21570.0,18375.0,17836.0,10731.0,14102.0,16065.0
LYCOPC: lycop_c <=> gcarote_c,LYCOPC,5326.0,5534.0,4376.0,4917.0,4539.0,4106.0,2266.0,3411.0,3257.0
ACOTA: acorn_c + akg_c <=> acg5sa_c + glu__L_c,ACOTA,22272.0,25233.0,21535.0,22591.0,22054.0,20415.0,14283.0,18824.0,16424.0
3HAD180: 3hoctaACP_c <=> h2o_c + toctd2eACP_c,3HAD180,1636.0,1826.0,1332.0,1591.0,1476.0,999.0,711.0,1132.0,1436.0
FTHFD: 10fthf_c + h2o_c --> for_c + h_c + thf_c,FTHFD,1114.0,1194.0,1004.0,1094.0,1088.0,1110.0,618.0,872.0,916.0
ALDD2y: acald_c + h2o_c + nadp_c <=> ac_c + 2.0 h_c + nadph_c,ALDD2y,12243.0,12806.0,11344.0,12374.0,11507.0,12261.0,7019.0,9589.0,7846.0
3OAS80: h_c + hexACP_c + malACP_c --> 3ooctACP_c + ACP_c + co2_c,3OAS80,35729.0,39927.0,34178.0,31131.0,31799.0,31333.0,19371.0,26237.0,21407.0
PSCVT: pep_c + skm5p_c <=> 3psme_c + pi_c,PSCVT,2286.0,2630.0,1900.0,1768.0,1930.0,1676.0,1070.0,1160.0,1140.0
CBPS: 2.0 atp_c + gln__L_c + h2o_c + hco3_c --> 2.0 adp_c + cbp_c + glu__L_c + 2.0 h_c + pi_c,CBPS,11825.0,12287.0,10548.0,9624.0,9475.0,9667.0,6710.0,6979.0,5910.0
NTPP8: h2o_c + utp_c --> h_c + ppi_c + ump_c,NTPP8,1720.0,2008.0,1646.0,1783.0,1490.0,1736.0,1010.0,1188.0,1414.0
MEPCT: 2me4p_c + ctp_c + h_c --> 4c2me_c + ppi_c,MEPCT,2471.0,2952.0,2126.0,2626.0,2308.0,2032.0,1288.0,1830.0,1718.0
PDX5POi: o2_c + pdx5p_c <=> h2o2_c + pydx5p_c,PDX5POi,530.0,564.0,554.0,536.0,416.0,508.0,302.0,248.0,318.0
DHAD2: 23dhmp_c --> 3mop_c + h2o_c,DHAD2,13811.0,15269.0,13834.0,13469.0,11545.0,12433.0,7976.0,9826.0,11160.0
DHFS: atp_c + dhpt_c + glu__L_c --> adp_c + dhf_c + h_c + pi_c,DHFS,2536.0,2665.0,2236.0,2312.0,2171.0,2316.0,1370.0,1586.0,1328.0
PGCD: 3pg_c + nad_c <=> 3php_c + h_c + nadh_c,PGCD,20989.0,24508.0,22169.0,22954.0,21799.0,24338.0,11900.0,16180.0,13663.0
SPMDabcpp: atp_c + h2o_c + spmd_p --> adp_c + h_c + pi_c + spmd_c,SPMDabcpp,1906.0,2028.0,1641.0,1848.0,1746.0,1664.0,786.0,1336.0,1416.0
NTD6: damp_c + h2o_c <=> dad_2_c + pi_c,NTD6,12110.0,11669.0,9182.0,14956.0,10830.0,11935.0,6261.0,8779.0,9584.0
NNDMBRT: dmbzid_c + nicrnt_c --> 5prdmbz_c + h_c + nac_c,NNDMBRT,4062.0,4591.0,3435.0,3966.0,3678.0,3582.0,1526.0,2298.0,2133.0
PRATPP: h2o_c + prbatp_c --> h_c + ppi_c + prbamp_c,PRATPP,3440.0,3839.0,2960.0,3675.0,2906.0,2762.0,1954.0,2288.0,2628.0
ASNN: asn__L_c + h2o_c --> asp__L_c + nh4_c,ASNN,8242.0,9163.0,7684.0,7704.0,6717.0,6554.0,3629.0,5681.0,6033.0
SERAT: accoa_c + ser__L_c --> acser_c + coa_c,SERAT,9805.0,11572.0,9560.0,12574.0,10831.0,10651.0,6968.0,9264.0,9688.0
PRAIS: atp_c + fpram_c --> adp_c + air_c + 2.0 h_c + pi_c,PRAIS,6402.0,7721.0,5414.0,6974.0,7447.0,6963.0,3090.0,5957.0,5853.0
PRAMPC: h2o_c + prbamp_c --> prfp_c,PRAMPC,3440.0,3839.0,2960.0,3675.0,2906.0,2762.0,1954.0,2288.0,2628.0
AMPMS3: air_c + amet_c <=> 4ampm_c + co_c + dad_5_c + for_c + 2.0 h_c + met__L_c,AMPMS3,141866.0,132770.0,141051.0,165276.0,118919.0,162349.0,59030.0,77706.0,84629.0
G1PCTYT: ctp_c + g1p_c + h_c --> cdpglc_c + ppi_c,G1PCTYT,2922.0,2866.0,2577.0,2514.0,2234.0,2352.0,1540.0,1598.0,1996.0
ACBIPGT: adocbip_c + gtp_c + h_c --> agdpcbi_c + ppi_c,ACBIPGT,1090.0,1098.0,892.0,1014.0,822.0,984.0,460.0,680.0,688.0
SEPHCHCS: akg_c + h_c + ichor_c --> 2sephchc_c + co2_c,SEPHCHCS,3960.0,4255.0,3503.0,4134.0,3541.0,3644.0,2174.0,2696.0,2454.0
NMNDA: h2o_c + nmn_c --> nh4_c + nicrnt_c,NMNDA,2388.0,2680.0,2229.0,2973.0,2502.0,2598.0,1234.0,2218.0,2304.0
CA2abcpp: atp_c + ca2_p + h2o_c --> adp_c + ca2_c + h_c + pi_c,CA2abcpp,8731.0,8190.0,7296.0,9046.0,7178.0,8139.0,4088.0,6484.0,6854.0
ORNTAC: acorn_c + glu__L_c --> acglu_c + orn_c,ORNTAC,4125.0,5092.0,3976.0,3354.0,3794.0,3156.0,1550.0,2472.0,1970.0
SUCBZS: 2shchc_c --> h2o_c + sucbz_c,SUCBZS,1498.0,1712.0,1272.0,1450.0,1252.0,1298.0,730.0,982.0,932.0
UHGADA2: h2o_c + u3aga2_c --> ac_c + u3hga2_c,UHGADA2,6422.0,6782.0,5337.0,6034.0,5321.0,4788.0,3307.0,4126.0,4498.0
DHNANT: dhna_c + nadp_c + phdp_c --> co2_c + dmtphllqne_c + nadph_c + ppi_c,DHNANT,3626.0,3854.0,3261.0,3561.0,2934.0,3262.0,2142.0,2414.0,2551.0
ASPO6: asp__L_c + o2_c --> h2o2_c + h_c + iasp_c,ASPO6,3564.0,4009.0,2900.0,2858.0,2576.0,2584.0,1962.0,2066.0,1844.0
HGYDAS: 2.0 atp_c + 2.0 gln__L_c + 2.0 h2o_c + hgbyr_c --> 2.0 adp_c + 2.0 glu__L_c + 2.0 h_c + hgbam_c + 2.0 pi_c,HGYDAS,922.0,766.0,606.0,890.0,680.0,740.0,486.0,524.0,528.0
GGDPR: ggdp_c + 3.0 h_c + 3.0 nadph_c --> 3.0 nadp_c + phdp_c,GGDPR,45258.0,51313.0,41472.0,34660.0,35786.0,33888.0,24248.0,25964.0,20227.0
ASP1DC: asp__L_c + h_c --> ala_B_c + co2_c,ASP1DC,5054.0,5689.0,4428.0,4808.0,4849.0,4884.0,2440.0,3803.0,3648.0
PPNDH: h_c + pphn_c --> co2_c + h2o_c + phpyr_c,PPNDH,1244.0,1414.0,1080.0,1196.0,1038.0,1054.0,734.0,740.0,800.0
ASPK: asp__L_c + atp_c --> 4pasp_c + adp_c,ASPK,5528.0,6072.0,5366.0,4302.0,4291.0,4277.0,2872.0,3092.0,3152.0
DXPS: g3p_c + h_c + pyr_c --> co2_c + dxyl5p_c,DXPS,49900.0,53317.0,47774.0,47909.0,40893.0,42897.0,29818.0,35376.0,37702.0
ME2: mal__L_c + nadp_c <=> co2_c + nadph_c + pyr_c,ME2,19790.0,19189.0,19546.0,19513.0,14399.0,17500.0,10202.0,10714.0,12110.0
3PGtcx: 3pg_cx --> 3pg_c,3PGtcx,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DDPGA: 4h2oglt_c --> glx_c + pyr_c,DDPGA,2200.0,2099.0,1882.0,2374.0,1732.0,2010.0,1119.0,1516.0,1652.0
PAPSR: paps_c + trdrd_c --> 2.0 h_c + pap_c + so3_c + trdox_c,PAPSR,19129.0,18785.0,17598.0,29230.0,15844.0,17229.0,17166.0,13762.0,19853.0
SADT: atp_c + h_c + so4_c --> aps_c + ppi_c,SADT,9086.0,10641.0,8412.0,7536.0,7520.0,7048.0,6315.0,6328.0,5562.0
BIOMASS_COFACTORS: 0.0213 5mthf_c + 0.0043 adocbl_c + 0.022 btamp_c + 0.016 coa_c + 0.0214 fad_c + 0.6518 fe2_c + 0.6518 fe3_c + 1.5013 gthbpt_c + 0.0213 hemeO_c + 0.0013 k_c + 0.022 lipopb_c + 0.0214 mlthf_c + 0.0001 na1_c + 0.1708 nad_c + 0.0043 nadh_c + 0.0107 nadp_c + 0.032 nadph_c + 0.0169 phllqne_c + 0.015 pq_um + 0.0344 ptrc_c + 0.022 pydx5p_c + 0.0213 sheme_c + 0.0736 spmd_c + 0.0214 thf_c + 0.0213 thmpp_c + 0.0096 udcpdp_c --> bm_cofactors_c,BIOMASS_COFACTORS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DPCOAK: atp_c + dpcoa_c --> adp_c + coa_c + h_c,DPCOAK,498.0,604.0,504.0,521.0,478.0,420.0,218.0,368.0,362.0
NH4tpp: nh4_p --> nh4_c,NH4tpp,219921.0,237845.0,230648.0,147657.0,136989.0,156001.0,127305.0,88339.0,81789.0
DM_h2_c: h2_c --> ,DM_h2_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PC11M: amet_c + pre4_c --> ahcys_c + h_c + pre5_c,PC11M,904.0,962.0,810.0,732.0,678.0,742.0,502.0,516.0,506.0
DPOR: 2.0 atp_c + 2.0 fdxrd_c + 2.0 h2o_c + pchlld_c --> 2.0 adp_c + chlld_c + 2.0 fdxox_c + 2.0 pi_c,DPOR,20287.0,20542.0,20593.0,20694.0,17487.0,22841.0,13770.0,11663.0,10272.0
ARGSL: argsuc_c --> arg__L_c + fum_c,ARGSL,5161.0,5656.0,4134.0,4038.0,4356.0,3760.0,1894.0,3383.0,3088.0
HSK: atp_c + hom__L_c --> adp_c + h_c + phom_c,HSK,1556.0,1963.0,1240.0,1234.0,1308.0,996.0,570.0,919.0,944.0
MTHFD: mlthf_c + nadp_c <=> methf_c + nadph_c,MTHFD,7233.0,7768.0,6809.0,7842.0,6340.0,6694.0,3916.0,4960.0,5803.0
PMDPHT: 5aprbu_c + h2o_c <=> 4r5au_c + pi_c,PMDPHT,432.0,398.0,382.0,386.0,430.0,424.0,223.0,258.0,224.0
ARGabcpp: arg__L_p + atp_c + h2o_c --> adp_c + arg__L_c + h_c + pi_c,ARGabcpp,1910.0,2031.0,1696.0,1788.0,1602.0,1508.0,848.0,1300.0,1258.0
3HAD140: 3hmrsACP_c <=> h2o_c + tmrs2eACP_c,3HAD140,1636.0,1826.0,1332.0,1591.0,1476.0,999.0,711.0,1132.0,1436.0
ARGOXRum: arg__L_c + h2o_c + pq_um --> 5g2oxpt_c + nh4_c + pqh2_um,ARGOXRum,16639.0,18571.0,20014.0,13830.0,14814.0,16001.0,10873.0,7282.0,6053.0
DAPE: 26dap_LL_c <=> 26dap__M_c,DAPE,1122.0,1228.0,1008.0,1060.0,880.0,916.0,588.0,786.0,870.0
BCAROHX2: bcryptox_c + h_c + nadph_c + o2_c --> h2o_c + nadp_c + zeax_c,BCAROHX2,17743.0,17573.0,13619.0,13326.0,14028.0,13968.0,8921.0,8789.0,7467.0
HPPK: 2ahhmp_c + atp_c <=> 2ahhmd_c + amp_c + h_c,HPPK,958.0,868.0,910.0,1038.0,830.0,938.0,456.0,610.0,676.0
PANTS: ala_B_c + atp_c + pant__R_c --> amp_c + h_c + pnto__R_c + ppi_c,PANTS,3110.0,3586.0,2848.0,2870.0,2570.0,2526.0,1506.0,2142.0,2302.0
AHCi: ahcys_c + h2o_c --> adn_c + hcys__L_c,AHCi,28409.0,33530.0,25533.0,25749.0,26347.0,23044.0,15140.0,20405.0,17163.0
G6PDH2r: g6p_c + nadp_c --> 6pgl_c + h_c + nadph_c,G6PDH2r,66788.0,71392.0,75588.0,72835.0,62341.0,74570.0,38440.0,39267.0,39656.0
ALAD_L: ala__L_c + h2o_c + nad_c <=> h_c + nadh_c + nh4_c + pyr_c,ALAD_L,7043.0,7458.0,5689.0,6202.0,5378.0,5514.0,3378.0,4537.0,3648.0
GTPCII: gtp_c + 3.0 h2o_c --> 25dhpp_c + for_c + 2.0 h_c + ppi_c,GTPCII,22943.0,23910.0,22661.0,26618.0,20673.0,26875.0,13944.0,18373.0,21170.0
GLCBRAN3: 14glucan_c + adpglc_c --> adp_c + glycogen_c + h_c,GLCBRAN3,42666.0,44255.0,38802.0,31737.0,30153.0,30690.0,25404.0,19886.0,17647.0
DB4PS: ru5p__D_c --> db4p_c + for_c + h_c,DB4PS,22943.0,23910.0,22661.0,26618.0,20673.0,26875.0,13944.0,18373.0,21170.0
DXPRIi: dxyl5p_c + h_c + nadph_c --> 2me4p_c + nadp_c,DXPRIi,9926.0,10752.0,8925.0,8496.0,8734.0,8636.0,6080.0,6352.0,4993.0
FBA3: s17bp_c <=> dhap_c + e4p_c,FBA3,263813.0,268408.0,254591.0,259145.0,230649.0,252641.0,196523.0,179892.0,149347.0
RBFSa: 4r5au_c + db4p_c --> dmlz_c + 2.0 h2o_c + pi_c,RBFSa,26162.0,27557.0,24469.0,22700.0,20216.0,21790.0,15521.0,15221.0,14089.0
GLUTRS: atp_c + glu__L_c + trnaglu_c --> amp_c + glutrna_c + ppi_c,GLUTRS,11739.0,11230.0,9522.0,10105.0,8294.0,9309.0,5438.0,6419.0,6698.0
MPOMMM: h_c + hmppp9_c + nadph_c + o2_c --> 2.0 h2o_c + nadp_c + omppp9_c,MPOMMM,85879.0,89608.0,80160.0,76818.0,71270.0,80046.0,66095.0,58725.0,50418.0
METAT: atp_c + h2o_c + met__L_c --> amet_c + pi_c + ppi_c,METAT,18848.0,20604.0,16849.0,16591.0,16679.0,15168.0,9660.0,12676.0,10471.0
EAR160y: h_c + nadph_c + tpalm2eACP_c --> nadp_c + palmACP_c,EAR160y,3429.0,3898.0,2942.0,2835.0,3064.0,2580.0,2068.0,2088.0,1642.0
DHORTS: dhor__S_c + h2o_c <=> cbasp_c + h_c,DHORTS,15253.0,15734.0,16382.0,14419.0,12025.0,13436.0,8804.0,8406.0,8392.0
PDX5PS2: 3a2oxpp_c + dxyl5p_c <=> 2.0 h2o_c + h_c + pdx5p_c + pi_c,PDX5PS2,4360.0,4820.0,4136.0,4614.0,3994.0,4372.0,2397.0,3118.0,3029.0
KARI_23dhmp_1: 3hmop_c + h_c + nadph_c --> 23dhmp_c + nadp_c,KARI_23dhmp_1,14799.0,17435.0,13874.0,15112.0,15033.0,13241.0,8390.0,13597.0,11512.0
ARGDC: arg__L_c + h_c --> agm_c + co2_c,ARGDC,8164.0,8755.0,6920.0,8343.0,7920.0,7018.0,3480.0,5966.0,5680.0
GAPDi_nadp: 13dpg_c + h_c + nadph_c --> g3p_c + nadp_c + pi_c,GAPDi_nadp,67078.0,78294.0,56056.0,59050.0,62378.0,54704.0,32931.0,50906.0,34382.0
NTD7: amp_c + h2o_c --> adn_c + pi_c,NTD7,12110.0,11669.0,9182.0,14956.0,10830.0,11935.0,6261.0,8779.0,9584.0
AIRC3: 5aizc_c <=> 5caiz_c,AIRC3,1448.0,1696.0,1252.0,1556.0,1434.0,1394.0,754.0,1277.0,1000.0
UMPK: atp_c + ump_c <=> adp_c + udp_c,UMPK,5174.0,5731.0,4189.0,4480.0,4438.0,3656.0,2128.0,3444.0,2617.0
ASPOb: h2o_c + h_c + iasp_c --> nh4_c + oaa_c,ASPOb,3564.0,4009.0,2900.0,2858.0,2576.0,2584.0,1962.0,2066.0,1844.0
RBFSb_1: 2.0 dmlz_c --> 4r5au_c + h_c + ribflv_c,RBFSb_1,3144.0,3189.0,3042.0,3350.0,2542.0,3065.0,1898.0,2094.0,2470.0
SUCDum: pq_um + succ_c <=> fum_c + pqh2_um,SUCDum,1192.0,1292.0,1010.0,966.0,876.0,894.0,532.0,706.0,804.0
FBP: fdp_c + h2o_c --> f6p_c + pi_c,FBP,82124.0,84519.0,85995.0,83632.0,70035.0,82219.0,49532.0,46145.0,46207.0
CITCIb: citac_c + h2o_c <=> r3mmal_c,CITCIb,7070.0,7588.0,7036.0,7388.0,5953.0,5825.0,3980.0,4750.0,5822.0
MNabc_1: atp_c + h2o_c + mn2_p --> adp_c + h_c + mn2_c + pi_c,MNabc_1,1260.0,1350.0,978.0,1234.0,1276.0,914.0,566.0,938.0,856.0
TMPK: atp_c + thmmp_c --> adp_c + thmpp_c,TMPK,894.0,974.0,820.0,862.0,858.0,796.0,434.0,582.0,650.0
AGPR: acg5sa_c + nadp_c + pi_c <=> acg5p_c + h_c + nadph_c,AGPR,5328.0,6282.0,4361.0,6630.0,6513.0,6037.0,2851.0,6182.0,4680.0
IPMD: 3c2hmp_c + nad_c --> 3c4mop_c + h_c + nadh_c,IPMD,12436.0,13610.0,13195.0,14156.0,12058.0,13938.0,8334.0,10544.0,10594.0
CDPMEK: 4c2me_c + atp_c --> 2p4c2me_c + adp_c + h_c,CDPMEK,1513.0,1724.0,1500.0,1317.0,1317.0,1189.0,828.0,818.0,1136.0
DVOCHR_1: dvpchlda_c + h_c + nadph_c --> nadp_c + pchlld_c,DVOCHR_1,11759.0,11936.0,11292.0,11701.0,10057.0,11379.0,5890.0,7571.0,7620.0
H2CO3_NAt_syn: hco3_p + na1_p <=> hco3_c + na1_c,H2CO3_NAt_syn,1298.0,1870.0,2016.0,1770.0,1760.0,1424.0,1412.0,830.0,978.0
HEMEOS: frdp_c + h2o_c + pheme_c <=> hemeO_c + ppi_c,HEMEOS,4234.0,3466.0,3402.0,4427.0,3319.0,3856.0,2249.0,2230.0,3115.0
PMANM: man1p_c <=> man6p_c,PMANM,6291.0,7390.0,6139.0,6879.0,6739.0,7502.0,3710.0,5792.0,5117.0
RPE: ru5p__D_c <=> xu5p__D_c,RPE,18627.0,21670.0,17540.0,15655.0,15281.0,13709.0,11715.0,11371.0,10898.0
MPOMT_1: amet_c + mppp9_c --> ahcys_c + mppp9me_c,MPOMT_1,4500.0,5313.0,4047.0,4575.0,4742.0,4430.0,2433.0,3545.0,3378.0
CPPPGO2: 2.0 amet_c + cpppg3_c --> 2.0 co2_c + 2.0 dad_5_c + 2.0 met__L_c + pppg9_c,CPPPGO2,1036.0,1278.0,962.0,884.0,888.0,914.0,456.0,626.0,682.0
PC17M_1: amet_c + pre3b_c --> ahcys_c + 2.0 h_c + pre4_c,PC17M_1,2094.0,1966.0,1746.0,1888.0,1548.0,1693.0,920.0,1210.0,1394.0
UAMAS: ala__L_c + atp_c + uamr_c --> adp_c + h_c + pi_c + uama_c,UAMAS,12476.0,14068.0,11469.0,11006.0,11920.0,11119.0,6390.0,7626.0,7224.0
GLUCYS: atp_c + cys__L_c + glu__L_c --> adp_c + glucys_c + h_c + pi_c,GLUCYS,20044.0,21082.0,19249.0,18791.0,16204.0,19541.0,11728.0,11297.0,11031.0
NDHPQRum: h_c + nadh_c + pq_um --> nad_c + pqh2_um,NDHPQRum,46880.0,48166.0,41638.0,48558.0,39218.0,43433.0,22540.0,31858.0,33045.0
CYNL: cynt_c + h_c + hco3_c --> cbm_c + co2_c,CYNL,2236.0,2072.0,1845.0,2076.0,1446.0,1789.0,1048.0,1233.0,1482.0
DCTPD2: ctp_c + h2o_c + h_c --> nh4_c + utp_c,DCTPD2,3678.0,3807.0,3490.0,3307.0,2913.0,3597.0,1992.0,1927.0,2004.0
CYOOum: 7.6 h_c + o2_c + 4.0 pcrd_u --> 2.0 h2o_c + 3.6 h_u + 4.0 pcox_u,CYOOum,7959.0,6766.0,7064.0,10074.0,7377.0,9254.0,4025.0,5595.0,6638.0
BPNT2: h2o_c + paps_c --> aps_c + pi_c,BPNT2,8126.0,9260.0,7201.0,9664.0,8711.0,8062.0,4027.0,7905.0,8363.0
METS_1: 5mthf_c + hcys__L_c --> met__L_c + thf_c,METS_1,15464.0,16300.0,15629.0,15885.0,14314.0,15578.0,8016.0,10706.0,11052.0
PRUK: atp_c + ru5p__D_c --> adp_c + h_c + rb15bp_c,PRUK,140232.0,147967.0,130508.0,119649.0,120815.0,124309.0,76321.0,85053.0,72909.0
FNOR_1: 2.0 fdxrd_c + h_c + nadp_c <=> 2.0 fdxox_c + nadph_c,FNOR_1,79177.0,83702.0,73657.0,61434.0,63404.0,60955.0,40737.0,46190.0,41593.0
GART: atp_c + for_c + gar_c --> adp_c + fgam_c + h_c + pi_c,GART,3072.0,3091.0,2406.0,2412.0,2318.0,2156.0,1609.0,1600.0,1434.0
IPPMIb: 2ippm_c + h2o_c <-- 3c3hmp_c,IPPMIb,7070.0,7588.0,7036.0,7388.0,5953.0,5825.0,3980.0,4750.0,5822.0
DMTPHT: amet_c + dmtphllqne_c --> ahcys_c + h_c + phllqne_c,DMTPHT,884.0,1140.0,888.0,992.0,900.0,836.0,638.0,798.0,786.0
PC6YM_1: 2.0 amet_c + pre6b_c --> 2.0 ahcys_c + co2_c + 3.0 h_c + pre8_c,PC6YM_1,1434.0,1686.0,1452.0,1578.0,1431.0,1448.0,862.0,1150.0,1136.0
PGL: 6pgl_c + h2o_c --> 6pgc_c + h_c,PGL,6740.0,6962.0,6867.0,8026.0,6378.0,7288.0,4163.0,5370.0,5977.0
DDPA: e4p_c + h2o_c + pep_c --> 2dda7p_c + pi_c,DDPA,64257.0,72552.0,61370.0,76010.0,67975.0,67505.0,42055.0,60030.0,56774.0
ASPCT: asp__L_c + cbp_c <=> cbasp_c + h_c + pi_c,ASPCT,2905.0,2978.0,2678.0,2529.0,2392.0,2482.0,1360.0,1705.0,1788.0
HSERTA: accoa_c + hom__L_c --> achms_c + coa_c,HSERTA,6832.0,6938.0,6484.0,7208.0,5884.0,6534.0,3730.0,4649.0,4640.0
OMCDC: 3c4mop_c + h_c --> 4mop_c + co2_c,OMCDC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CYRDAAT: atp_c + co1dam_c + h_c --> adcobdam_c + pppi_c,CYRDAAT,10879.0,12429.0,10198.0,11805.0,10802.0,10714.0,5644.0,8997.0,9371.0
MECDPDHf: 2mecdp_c + 2.0 fdxrd_c + h_c --> 2.0 fdxox_c + h2mb4p_c + h2o_c,MECDPDHf,15043.0,15521.0,14095.0,16527.0,13724.0,14240.0,8071.0,11454.0,12601.0
Htcx: h_c <=> h_cx,Htcx,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H2Otpp: h2o_p <=> h2o_c,H2Otpp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HISTP: h2o_c + hisp_c --> histd_c + pi_c,HISTP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MTHFR3_1: h_c + mlthf_c + nadph_c --> 5mthf_c + nadp_c,MTHFR3_1,2348.0,2536.0,2136.0,2748.0,2227.0,2586.0,1250.0,1860.0,2250.0
EX_ca2_e: ca2_e <=> ,EX_ca2_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3HAD40_2: 3hbutACP_c <=> but2eACP_c + h2o_c,3HAD40_2,1636.0,1826.0,1332.0,1591.0,1476.0,999.0,711.0,1132.0,1436.0
ZCAROTDH1: h_c + nadph_c + o2_c + zcarote_c --> 2.0 h2o_c + nadp_c + neuspn_c,ZCAROTDH1,7909.0,8136.0,6940.0,7471.0,7304.0,6960.0,3520.0,5678.0,4576.0
CYRDAR: 2.0 co2dam_c + nadh_c <=> 2.0 co1dam_c + h_c + nad_c,CYRDAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
